idAmazon,idGoogle
b0002mg5uk,http://www.google.com/base/feeds/snippets/1267940675828545901
b0002jtvng,http://www.google.com/base/feeds/snippets/5572182459728876600
b00007kh02,http://www.google.com/base/feeds/snippets/7249154325906371083
b00006hvvo,http://www.google.com/base/feeds/snippets/3409784122469217433
b0007lw22g,http://www.google.com/base/feeds/snippets/10849068506859926430
b000saufpw,http://www.google.com/base/feeds/snippets/10073523251870401694
b000v7vz1u,http://www.google.com/base/feeds/snippets/17615743519264436737
b000jx1kma,http://www.google.com/base/feeds/snippets/18356272944058818376
b00002s6sc,http://www.google.com/base/feeds/snippets/11023384475486845617
b000ndibge,http://www.google.com/base/feeds/snippets/1227473479709404023
b000in8n30,http://www.google.com/base/feeds/snippets/4377533611520192512
b0000vyk1o,http://www.google.com/base/feeds/snippets/17409160117322953940
b000licg1m,http://www.google.com/base/feeds/snippets/6070036801370348429
b000gaqlxe,http://www.google.com/base/feeds/snippets/14792132642669527606
b00013wh0w,http://www.google.com/base/feeds/snippets/10202903815808902868
b000ndibbo,http://www.google.com/base/feeds/snippets/16934204320953872944