id,name,description,manufacturer,price
http://www.google.com/base/feeds/snippets/11023384475486845617,punch software 20100 punch! 5 in 1 home design,total interior and exterior home design with realistic high-resolution 3d graphics! 20100 punch software,punch software,35.99
http://www.google.com/base/feeds/snippets/7249154325906371083,onone software ice-10770 intellihance pro 4.1 mac/win (buy now and get free cs3 compatibility upgrades),dynamic image enhancement and color correction intellihance pro 4 quickly and dynamically enhances images to make them look their best. compare and print up to 25 professional enhancement variations at once.highlights:^^ quickly and dynamically ...,onone software,158.99
http://www.google.com/base/feeds/snippets/1227473479709404023,adobe cs3 web standard,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 java runtime environment 1.5 1gb ram 4.5gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card ...,,1035.99
http://www.google.com/base/feeds/snippets/18356272944058818376,red mile entertainment 124 - aircraft power pack for ms flight simulator - win 98 me nt 2000 xp,red mile entertainment 124 : with firepower for microsoft combat simulator 3 you will experience air combat like never before in over 50 missions. the 1 pc gaming magazine pcgamer said firepower has the most spectacular-looking pyrotechnics the ...,,27.97
http://www.google.com/base/feeds/snippets/3409784122469217433,sonicwall gms 1000n-incremental lic upg,today enterprises and service providers face increasing security challenges in their distributed networks from security and virus attacks to enforcing security policies. as a distributed network grows and branches into multiple subnetworks linked ...,,62920.89
http://www.google.com/base/feeds/snippets/4377533611520192512,hijack2 identity and data security suite,prevent thieves from accessing any of your personal data! fbi statistics show that 97% of all stolen laptop computers are never recovered! just when you least expect it your computer can go missing. all of your personal information; banking credit ...,,44.9
http://www.google.com/base/feeds/snippets/5572182459728876600,bias deck 3.5 le digital audio recording software music production software,deck 3.5 le multi-track digital audio recording software (up to 12 tracks) for mac bias deck 3.5 le turns a mac into a full-fledged recording studio recording up to 12 audio tracks with full cd quality. work can be edited instantly (while always ...,,69.95
http://www.google.com/base/feeds/snippets/1267940675828545901,iview mediapro 2.6 media management,product datasheet (pdf: 1.1mb) system requirements macintosh ? powerpc or newer such as imac g3 g4 ? mac os 9.1.x or mac os x (10.1.x) ? carbonlib 1.5 ? quicktime 6.x ? 8 mb of ram (os 9 allocation) ? monitor set to thousands or millions ? 13 mb ...,,155.99
http://www.google.com/base/feeds/snippets/10849068506859926430,apple ilife '06,system requirements * macintosh computer with a powerpc g4 powerpc g5 or intel core processor; 733mhz or faster for idvd * 256mb of ram 512mb recommended * mac os x v10.3.9 or v10.4.3 or later; v10.4.4 recommended * itunes 6.0.2 and quicktime ...,,79.99
http://www.google.com/base/feeds/snippets/17615743519264436737,onone software essentials for adobe photoshop elements version 2 - full,,,59.33
http://www.google.com/base/feeds/snippets/10202903815808902868,palmspring software 523 oxford american desk dictionary,oxford american desk dictionary 523 palmspring software,palmspring software,24.2
http://www.google.com/base/feeds/snippets/17409160117322953940,cyberlink power director 3,super fast shipping - platinum reseller ratings - over 12 years in business,,9.99
http://www.google.com/base/feeds/snippets/6070036801370348429,power production power production storyboard artist software animation software,power production storyboard artist software for educators - mac storyboard artist 4 (educational) provides the convenience of a layout and design program with elements of content creation and digital editing software allowing creative people to ...,,498.95
http://www.google.com/base/feeds/snippets/14792132642669527606,allume aquazone bass edition,mac os x 10.3 or newer; 256 mb ram; 100 mb available disk space; monitor supporting ?millions? of colors.,,19.99
http://www.google.com/base/feeds/snippets/10073523251870401694,global software a1826m2w - dk amazing animals 1.1 - win 95 98 2000 xp vista,global software a1826m2w : meet your cd host henry a delightful 3-d animated lizard who will lead you through the wonderful world of the animal kingdom! the amazing animal expert notebook is packed with photos maps sounds and amazing animal facts ...,,9.08
http://www.google.com/base/feeds/snippets/16934204320953872944,adobe indesign cs3 for mac upgrade from pagemaker,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 256mb ram (512mb recommended) 1.6gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...,,205.99